# Stone poses after Tim Daw, stonehenge-block-3d, data/locked_poses.json
# commit 52e81ba412dfd6c912937b3b1212d962be67c21a, generated_at 2026-09-20T06:10:20Z, frame OSGB (British National Grid, metres)
# Licence CC BY-SA 4.0 (c) 2026 Tim Daw. Digitised from the M J Rees & Co 1989/90 survey,
# Historic England Archive MP/STO0861. yaw_deg is anticlockwise from grid east along the width axis.
# accuracy_class is Daw's own grade; seed_only and plan_digitised are placeholders, not survey.
petrie,role,status,e_m,n_m,yaw_deg,z_base_m,width_m,thickness_m,length_m,height_m,footprint_along_m,footprint_across_m,accuracy_class,height_source,hole_e_m,hole_n_m
49,bluestone,standing,412253.726,142202.268,-40.79,0.0,1.105,0.439,,1.9,1.105,0.439,plan_locked,cleal_app5_banton,,
51,trilithon_upright,standing,412254.217,142191.6,48.27,0.0,2.487,1.032,,5.182,2.487,1.032,locked,cleal_app5_or_scene,,
52,trilithon_upright,standing,412252.31,142189.543,46.44,0.0,2.535,1.19,,5.08,2.535,1.19,locked,cleal_app5_or_scene,,
53,trilithon_upright,standing,412247.553,142186.658,25.89,0.0,2.25,1.047,,5.18,2.25,1.047,locked,cleal_app5_or_scene,,
54,trilithon_upright,standing,412245.303,142185.542,22.59,0.0,2.328,1.154,,5.18,2.328,1.154,locked,cleal_app5_or_scene,,
55a,trilithon_upright,fallen,412240.017,142187.533,49.18,0.0,4.327,2.343,,1,4.327,2.343,locked,placeholder_fallen_agl,,
55b,trilithon_upright,fallen,412242.776,142190.677,47.8,0.0,3.831,2.162,,1,3.831,2.162,locked,placeholder_fallen_agl,,
56,trilithon_upright,standing,412238.308,142189.509,-40.73,0.0,2.072,0.765,,6.55,2.072,0.765,locked,cleal_app5_or_scene,,
57,trilithon_upright,standing,412237.433,142194.835,58.94,0.0,2.468,0.947,,5.18,2.468,0.947,locked,cleal_app5_or_scene,,
58,trilithon_upright,standing,412238.835,142197.292,59.91,0.0,2.521,1.043,,5.212,2.521,1.043,locked,cleal_app5_or_scene,,
59a,trilithon_upright,fallen_fragment,412243.198,142199.908,-39.36,0.0,3.993,2.15,,1,3.993,2.15,locked,placeholder_fallen_agl,,
59b,trilithon_upright,fallen_fragment,412245.161,142197.898,22.56,0.0,2.045,1.041,,1,2.045,1.041,locked,placeholder_fallen_agl,,
59c,trilithon_upright,fallen_fragment,412245.826,142196.627,32.96,0.0,2.093,1.055,,1,2.093,1.055,locked,placeholder_fallen_agl,,
60,trilithon_upright,standing,412244.587,142202.564,29.07,0.0,2.327,1.088,,5.03,2.327,1.088,locked,cleal_app5_or_scene,,
61,bluestone,standing,412253.223,142193.014,-132.67,0.0,0.632,0.401,,1.75,0.632,0.401,locked,cleal_app5_or_scene,,
61a,bluestone,standing,412251.79,142191.754,-90.99,0.0,0.419,0.2,,0.5,0.419,0.2,locked,placeholder_stump,,
62,bluestone,standing,412250.079,142189.715,-129.09,0.0,0.533,0.454,,2.03,0.533,0.454,locked,cleal_app5_or_scene,,
63,bluestone,standing,412248.734,142188.726,28.52,0.0,0.739,0.438,,2.11,0.739,0.438,locked,cleal_app5_or_scene,,
64,bluestone,standing,412245.474,142187.925,179.06,0.0,0.359,0.2,,1,0.359,0.2,locked,placeholder,,
65,bluestone,standing,412243.85,142188.157,-115.24,0.0,0.35,0.8,,1,0.35,0.8,locked,placeholder,,
67,bluestone,standing,412240.506,142191.634,-84.86,0.0,2.478,0.861,,1,2.478,0.861,locked,placeholder,,
68,bluestone,fallen,412239.87,142191.677,-109.65,0.0,0.952,0.619,,2.49,0.952,0.619,locked,cleal_app5_banton,,
69,bluestone,standing,412239.365,142194.636,-165.15,0.0,0.504,0.385,,2.59,0.504,0.385,locked,cleal_app5_or_scene,,
70,bluestone,standing,412240.22,142196.165,-114.66,0.0,0.657,0.353,,2.34,0.657,0.353,locked,cleal_app5_or_scene,,
71,bluestone,standing,412243.342,142200.359,-135.07,0.0,1.599,0.35,,1,1.599,0.35,locked,placeholder,,
72,bluestone,fallen,412244.677,142201.178,-147.94,0.0,1.023,0.555,,1,1.023,0.555,locked,placeholder,,
